ID_Number,Activity,Start_Time,End_Time,Sleep_Location,Break_Location
5,P,3;00,3;30,,
5,C,3;30,3;42,,
5,W,3;42,12;42,,
5,C,12;42,12;52,,
5,P,12;52,19;30,,
5,S,19;30,3;00,H,
5,P,3;00,3;30,,
5,C,3;30,3;42,,
5,W,3;42,12;42,,
5,C,12;42,12;52,,
5,P,12;52,21;30,,
5,S,21;30,3;00,H,
5,P,3;00,3;30,,
5,C,3;30,3;42,,
5,W,3;42,12;42,,
5,C,12;42,12;52,,
5,P,12;52,21;30,,
5,S,21;30,3;00,H,
5,P,3;00,3;30,,
5,C,3;30,3;42,,
5,W,3;42,12;42,,
5,C,12;42,12;52,,
5,P,12;52,21;30,,
5,S,21;30,7;30,H,
5,P,7;30,21;30,,
5,S,21;30,0;00,H,
5,P,3;00,3;30,,
5,C,3;30,3;42,,
5,W,3;42,12;42,,
5,C,12;42,12;52,,
5,P,12;52,21;30,,
5,S,21;30,3;00,H,
5,P,3;00,3;30,,
5,C,3;30,3;40,,
5,W,3;40,12;42,,
5,C,12;42,12;55,,
5,P,12;55,21;30,,
5,S,21;30,3;00,H,
5,P,3;00,3;30,,
5,C,3;30,3;42,,
5,W,3;42,12;42,,
5,C,12;42,12;52,,
5,P,12;52,21;30,,
5,S,21;30,3;00,H,
32,S,21;20,4;10,H,
32,P,4;10,5;00,,
32,C,5;00,5;19,,
32,W,5;19,10;00,,
32,B,10;00,12;30,,Off train
32,W,12;30,16;06,,
32,C,16;06,16;25,,
32,S,0;00,4;15,H,
32,P,4;15,5;00,,
32,C,5;00,5;19,,
32,W,5;19,10;00,,
32,B,10;00,12;30,,Off train
32,W,12;30,16;06,,
32,C,16;06,16;25,,
32,P,16;25,23;00,,
32,S,23;00,8;30,H,
32,P,8;30,14;05,,
32,C,14;05,14;45,,
32,W,14;45,17;00,,
32,B,17;00,22;15,,Off train
32,S,1;30,8;30,H,
32,P,8;30,16;00,,
32,P,4;10,5;00,,
32,C,5;00,5;19,,
32,W,5;19,10;00,,
32,B,10;00,12;30,,Off train
32,W,12;30,16;06,,
32,C,16;06,16;25,,
32,P,16;25,21;00,,
32,S,21;00,0;00,H,
37,S,0;00,9;30,H,
37,P,9;30,16;10,,
37,C,16;10,16;40,,
37,W,16;40,20;00,,
37,L,20;00,0;00,,
37,P,0;30,3;00,,
37,S,3;00,10;00,H,
37,P,10;00,0;00,,
37,P,0;00,3;00,,
37,S,3;00,9;00,H,
37,P,9;00,17;00,,
37,S,17;00,18;00,H,
37,P,18;00,0;00,,
37,P,0;00,1;30,,
37,S,1;30,5;30,H,
37,P,5;30,6;30,,
37,C,6;30,7;00,,
37,W,7;00,10;30,,
37,I,10;30,18;00,,Off train
37,W,18;00,22;30,,
37,C,22;30,23;00,,
37,P,23;00,1;30,,
37,S,1;30,8;30,H,
37,P,8;30,22;00,,
37,C,22;00,22;30,,
37,W,22;30,3;30,,
37,C,3;30,4;00,,
37,P,4;00,5;30,,
37,S,5;30,13;00,H,
37,P,13;00,18;00,,
37,C,18;00,18;20,,
37,W,18;20,22;30,,
37,I,22;30,14;20,,
37,W,14;20,22;45,,
37,C,22;45,23;15,,
37,P,23;15,4;00,,
37,S,4;00,6;00,H,
37,P,6;00,6;30,,
37,C,6;30,7;00,,
37,W,7;00,10;30,,
37,I,10;30,18;00,,Off train
37,W,18;00,22;30,,
37,C,22;30,23;00,,
37,P,23;00,3;00,,
37,S,3;00,10;00,H,
37,P,10;00,2;00,,
37,S,2;00,5;00,H,
37,P,5;00,6;30,,
37,C,6;30,7;00,,
37,W,7;00,10;40,,
37,I,10;40,18;00,,Off train
37,W,18;00,22;30,,
37,C,22;30,23;00,,
37,P,23;00,2;00,,
37,S,2;00,9;00,H,
37,P,9;00,21;00,,
37,C,21;00,21;30,,
37,W,21;30,1;00,,
37,L,1;00,2;00,,
37,W,2;00,4;45,,
37,C,4;45,5;15,,
37,P,5;15,6;00,,
37,S,6;00,11;00,H,
37,P,11;00,16;00,,
37,C,16;00,16;30,,
37,W,16;30,19;00,,
37,C,19;00,19;30,,
37,P,19;30,21;30,,
37,S,21;30,4;30,H,
37,P,4;30,6;00,,
37,S,6;00,10;00,H,
37,P,10;00,12;00,,
37,C,12;00,12;30,,
37,W,12;30,22;45,,
37,C,22;45,23;50,,
37,P,23;50,2;30,,
37,S,2;30,6;00,H,
37,P,6;00,6;30,,
37,C,6;30,7;00,,
37,W,7;00,10;45,,
37,I,10;45,18;00,,Off train
37,W,18;00,22;45,,
37,C,22;45,23;15,,
37,P,23;15,0;00,,
45,S,0;00,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,16;45,,
45,P,16;45,20;50,,
45,S,20;50,4;50,H,
37,S,11;00,15;00,A,
37,S,3;45,11;30,A,
37,S,12;00,15;00,A,
37,S,12;00,16;00,A,
37,S,13;00,14;00,A,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,16;50,,
45,P,16;50,22;30,,
45,S,22;30,6;30,H,
45,P,6;30,1;20,,
45,S,1;20,8;30,A,
45,P,8;30,20;30,,
45,S,20;30,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,16;45,,
45,P,16;45,21;10,,
45,S,21;10,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,16;40,,
45,P,16;40,20;40,,
45,S,20;40,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,16;50,,
45,P,16;50,21;08,,
45,S,21;08,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,17;30,,
45,C,17;30,18;20,,
45,P,18;20,21;45,,
45,S,21;45,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,17;00,,
45,P,17;00,23;50,,
45,S,23;50,7;50,H,
45,P,7;50,23;30,,
45,S,23;30,7;30,H,
45,P,7;30,21;15,,
45,S,21;15,4;50,H,
45,P,4;50,5;20,,
45,C,5;20,6;00,,
45,W,6;00,17;00,,
45,C,17;00,17;55,,
45,P,17;55,20;20,,
45,S,20;20,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,16;40,,
45,P,16;40,19;45,,
45,S,19;45,4;50,H,
45,P,4;50,5;25,,
45,C,5;25,6;00,,
45,W,6;00,16;00,,
45,C,16;00,16;40,,
45,P,16;40,20;45,,
45,S,20;45,0;00,H,
55,S,0;00,3;00,H,
55,P,3;00,3;30,,
55,C,3;30,3;59,,
55,W,3;59,10;20,,
55,I,10;20,15;10,,Off train
55,W,15;10,18;34,,
55,C,18;34,19;05,,
55,P,19;05,21;30,,
55,S,21;30,3;00,H,
55,P,3;00,3;30,,
55,C,3;30,3;59,,
55,W,3;59,10;20,,
55,I,10;20,15;10,,Off train
55,W,15;10,20;07,,
55,C,20;07,20;35,,
55,P,20;35,21;45,,
55,S,21;45,3;00,H,
55,P,3;00,3;30,,
55,C,3;30,4;07,,
55,W,4;07,10;20,,
55,I,10;20,15;10,,Off train
55,W,15;10,18;42,,
55,C,18;42,19;17,,
55,P,19;17,22;00,,
55,S,22;00,3;00,H,
55,S,10;20,13;20,N/A,
55,P,3;00,3;30,,
55,C,3;30,3;59,,
55,W,3;59,10;20,,
55,I,10;20,15;10,,Off train
55,W,15;10,18;36,,
55,C,18;36,19;05,,
55,P,19;05,21;30,,
