"ID_Number","Activity","Start_time","End_time","Sleep_location"
"3","S","0.00","6.00","H"
"3","P","6.00","10.20",""
"3","C","10.20","10.45",""
"3","W","10.45","20.55",""
"3","C","20.55","21.23",""
"3","P","21.23","22.00",""
"3","S","22.00","3.50","A"
"3","P","3.50","5.02",""
"3","C","5.02","5.20",""
"3","W","5.20","12.10",""
"3","C","12.10","12.35",""
"3","P","12.35","13.00",""
"3","S","13.00","16.00","H"
"3","P","16.00","22.00",""
"3","S","22.00","7.30","H"
"3","P","7.30","14.00",""
"3","S","14.00","16.55","H"
"3","P","16.55","18.10",""
"3","C","18.10","18.35",""
"3","W","18.35","2.39",""
"3","C","2.39","2.57",""
"3","P","2.57","4.00",""
"3","S","4.00","12.30","A"
"3","P","12.30","13.42",""
"3","C","13.42","14.00",""
"3","W","14.00","23.40",""
"3","C","23.40","0.05",""
"3","P","0.05","1.00",""
"3","S","1.00","8.15","H"
"3","P","8.15","13.00",""
"3","S","13.00","14.30","H"
"3","P","14.30","21.00",""
"3","S","21.00","7.30","H"
"3","P","7.30","17.30",""
"3","S","17.30","23.30","H"
"3","P","23.30","0.42",""
"3","C","0.42","1.00",""
"3","W","1.00","8.14",""
"3","C","8.14","8.32",""
"3","P","8.32","17.00",""
"3","S","17.00","23.30","A"
"3","P","23.30","0.42",""
"3","C","0.42","1.00",""
"3","W","1.00","9.25",""
"3","C","9.25","9.50",""
"3","P","9.50","22.15",""
"3","S","22.15","7.00","H"
"3","P","7.00","13.15",""
"3","C","13.15","13.40",""
"3","W","13.40","22.34",""
"3","C","22.34","22.52",""
"3","P","22.52","23.59",""
"3","S","0.00","8.00","A"
"3","P","8.00","11.12",""
"3","C","11.12","11.30",""
"3","W","11.30","17.15",""
"3","C","17.15","17.40",""
"3","P","17.40","21.15",""
"3","S","21.15","7.15","H"
"3","P","7.15","20.30",""
"3","S","20.30","7.00","H"
"3","P","7.00","22.00",""
"3","S","22.00","3.05","H"
"3","P","3.05","5.10",""
"3","C","5.10","5.35",""
"3","W","5.35","13.19",""
"3","C","13.19","13.37",""
"3","P","13.37","17.00",""
"3","S","17.00","23.55","A"
"3","P","23.55","1.17",""
"3","C","1.17","1.25",""
"3","W","1.25","13.35",""
"3","C","13.35","14.00",""
"3","P","14.00","21.30",""
"3","S","21.30","23.59","H"
"4","S","0.00","3.30","H"
"4","P","3.30","4.00",""
"4","C","4.00","5.15",""
"4","W","5.15","8.50",""
"4","C","8.50","9.00",""
"4","P","9.00","14.50",""
"4","S","14.50","21.00","A"
"4","P","21.00","22.20",""
"4","C","22.20","22.30",""
"4","W","22.30","5.05",""
"4","C","5.05","7.00",""
"4","P","7.00","9.15",""
"4","S","9.15","12.30","H"
"4","P","12.30","23.30",""
"4","S","23.30","7.00","H"
"4","P","7.00","23.30",""
"4","S","23.30","7.30","H"
"4","P","7.30","13.00",""
"4","S","13.00","14.00","H"
"4","P","14.00","19.00",""
"4","C","19.00","21.15",""
"4","W","21.15","7.10",""
"4","P","7.10","9.00",""
"4","S","9.00","12.00","A"
"4","P","12.00","16.00",""
"4","S","16.00","20.30","A"
"4","P","20.30","22.35",""
"4","C","22.35","22.45",""
"4","W","22.45","7.25",""
"4","C","7.25","9.00",""
"4","P","9.00","23.30",""
"4","S","23.30","8.30","H"
"4","P","8.30","23.30",""
"4","S","23.30","7.00","H"
"4","P","7.00","9.30",""
"4","C","9.30","10.45",""
"4","W","10.45","20.00",""
"4","P","20.00","23.00",""
"4","S","23.00","7.30","A"
"4","P","7.30","11.20",""
"4","C","11.20","11.30",""
"4","W","11.30","14.50",""
"4","C","14.50","16.10",""
